City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Half Moon Bay,37.4636,-122.4286,53.37,60,100,21.85,US,1680009355
1,Talcahuano,-36.7167,-73.1167,55.08,100,100,4.61,CL,1680009455
2,Butaritari,3.0707,172.7902,82.13,80,40,15.28,KI,1680009456
3,Lebu,-37.6167,-73.65,55.72,94,75,6.6,CL,1680009458
4,Cape Town,-33.9258,18.4232,74.12,50,1,10.0,ZA,1680009300
5,Bang Rakam,16.7585,100.1174,95.04,50,1,3.44,TH,1680009458
6,Mataura,-46.1927,168.8643,44.47,80,51,1.23,NZ,1680009461
7,Mastic Beach,40.7668,-72.8521,44.11,91,100,3.44,US,1680009451
8,Albany,42.6001,-73.9662,39.92,84,99,1.99,US,1680009463
9,Thaba-Tseka,-29.522,28.6084,65.84,38,18,21.9,LS,1680009463
10,Berlevåg,70.8578,29.0864,30.2,69,100,14.97,NO,1680009463
11,Talnakh,69.4865,88.3972,-11.79,99,96,5.35,RU,1680009466
12,Vao,-22.6667,167.4833,76.64,81,20,16.53,NC,1680009468
13,Kapaa,22.0752,-159.319,71.58,89,0,5.75,US,1680009469
14,Taoudenni,22.6783,-3.9836,100.47,7,100,11.72,ML,1680009469
15,Castro,-24.7911,-50.0119,68.45,77,41,5.84,BR,1680009472
16,Fougamou,-1.2154,10.5838,84.34,77,100,2.1,GA,1680009474
17,Srednekolymsk,67.45,153.6833,2.7,77,89,8.14,RU,1680009475
18,Tayu,-6.5397,111.0518,78.71,86,100,4.41,ID,1680009476
19,Baruun-Urt,46.6806,113.2792,41.2,36,18,9.06,MN,1680009477
20,Coahuayana Viejo,18.7333,-103.6833,65.55,67,0,3.29,MX,1680009477
21,Litovko,49.2361,135.1742,28.9,75,6,5.44,RU,1680009478
22,Brunswick,41.2381,-81.8418,37.89,88,40,3.0,US,1680009480
23,Mana,5.6592,-53.7767,78.42,81,96,8.5,GF,1680009481
24,Wanning,18.8003,110.3967,74.77,94,35,5.12,CN,1680009481
25,Acaraú,-2.8856,-40.12,80.67,77,57,3.33,BR,1680009370
26,Barrow,71.2906,-156.7887,3.22,78,75,20.71,US,1680009483
27,Senanga,-16.1167,23.2667,84.4,46,52,5.06,ZM,1680009484
28,Tarko-Sale,64.9225,77.785,12.16,92,100,13.09,RU,1680009484
29,Bengkulu,-3.8004,102.2655,79.0,84,100,2.24,ID,1680009485
30,Batagay,67.6333,134.6333,10.74,92,100,11.25,RU,1680009486
31,Cherskiy,68.75,161.3,0.84,84,21,12.97,RU,1680009486
32,Ushuaia,-54.8,-68.3,37.02,75,20,4.61,AR,1680009487
33,Grand Gaube,-20.0064,57.6608,84.6,77,100,7.34,MU,1680009487
34,São Sebastião,-23.76,-45.4097,79.21,70,41,2.89,BR,1680009210
35,Lagoa,39.05,-27.9833,59.83,81,100,29.86,PT,1680009488
36,Chokurdakh,70.6333,147.9167,15.12,88,100,6.58,RU,1680009489
37,Hualmay,-11.0964,-77.6139,75.94,76,84,5.44,PE,1680009490
38,Busselton,-33.65,115.3333,64.4,58,0,13.65,AU,1680009490
39,Qui Nhon,13.7667,109.2333,77.72,85,45,1.59,VN,1680009450
40,Saldanha,-33.0117,17.9442,64.96,77,64,19.66,ZA,1680009495
41,Puerto Ayora,-0.7393,-90.3518,79.56,96,20,1.95,EC,1680009496
42,Longyearbyen,78.2186,15.6401,3.04,66,20,4.61,SJ,1680009496
43,Port Elizabeth,-33.918,25.5701,82.69,21,0,9.22,ZA,1680009482
44,Nikolskoye,59.7035,30.7861,33.69,91,100,4.41,RU,1680009497
45,Ancud,-41.8697,-73.8203,52.56,76,100,13.69,CL,1680009499
46,Freeport,40.6576,-73.5832,45.25,83,100,3.44,US,1680009499
47,Lompoc,34.6391,-120.4579,49.93,78,0,4.61,US,1680009499
48,Ouésso,1.6136,16.0517,92.21,41,99,3.33,CG,1680009500
49,Mayumba,-3.432,10.6554,78.8,87,100,10.36,GA,1680009501
50,Prince Rupert,54.3161,-130.3201,35.51,72,9,4.63,CA,1680009223
51,Ponta do Sol,32.6667,-17.1,78.12,19,100,4.09,PT,1680009502
52,Avarua,-21.2078,-159.775,73.45,100,100,8.05,CK,1680009508
53,Salalah,17.0151,54.0924,84.29,74,40,13.8,OM,1680009353
54,Port Macquarie,-31.4333,152.9167,67.89,90,100,5.91,AU,1680009510
55,Krasnosel'kup,65.7,82.4667,6.1,90,100,6.93,RU,1680009511
56,Dikson,73.5069,80.5464,-6.56,96,100,13.67,RU,1680009514
57,Hilo,19.7297,-155.09,73.27,92,40,5.75,US,1680009514
58,Saint-Philippe,-21.3585,55.7679,81.99,72,90,5.44,RE,1680009516
59,Leningradskiy,69.3833,178.4167,-7.04,81,1,8.14,RU,1680009517
60,Vila Franca do Campo,37.7167,-25.4333,61.21,86,99,24.56,PT,1680009518
61,Tasiilaq,65.6145,-37.6368,12.36,66,37,4.23,GL,1680009519
62,Brae,60.3964,-1.353,41.65,63,95,5.08,GB,1680009520
63,Rikitea,-23.1203,-134.9692,79.7,75,100,10.87,PF,1680009520
64,New Norfolk,-42.7826,147.0587,58.5,90,100,1.07,AU,1680009520
65,Nouakchott,18.0858,-15.9785,100.33,31,0,8.5,MR,1680009456
66,Guerrero Negro,27.9769,-114.0611,57.4,63,8,9.35,MX,1680009521
67,Sidi Ali,36.0998,0.4206,66.96,38,0,12.15,DZ,1680009521
68,Karaj,35.8355,51.0103,66.72,37,20,11.5,IR,1680009521
69,Clyde River,70.4692,-68.5914,-12.77,77,100,2.3,CA,1680009521
70,Russell,32.3502,-85.1999,65.48,100,100,4.61,US,1680009521
71,Aleksandrovskoye,44.7142,43.0008,63.45,52,100,16.78,RU,1680009521
72,Ust-Tsilma,65.441,52.1498,24.06,81,100,9.08,RU,1680009522
73,Quzhou,28.9594,118.8686,53.13,74,100,4.81,CN,1680009522
74,Arrondissement d'Ajaccio,42.0,8.9167,58.98,45,0,11.5,FR,1680009522
75,Muros,42.7762,-9.0603,71.69,43,74,9.95,ES,1680009522
76,Ribeira Grande,38.5167,-28.7,60.78,82,75,20.71,PT,1680009523
77,Jamestown,42.097,-79.2353,38.84,93,0,1.99,US,1680009127
78,Esperance,-33.8667,121.9,61.74,69,5,8.79,AU,1680009526
79,Atuona,-9.8,-139.0333,80.76,77,100,17.22,PF,1680009526
80,Cabo San Lucas,22.8909,-109.9124,66.51,79,20,3.44,MX,1680009527
81,Okakarara,-20.5833,17.4333,82.58,39,83,5.46,NA,1680009528
82,Tiksi,71.6872,128.8694,-1.37,92,100,16.62,RU,1680009528
83,Privolzhskiy,51.4,46.0333,52.32,50,100,5.01,RU,1680009528
84,Luganville,-15.5333,167.1667,77.81,85,100,3.83,VU,1680009528
85,Paracatu,-17.2222,-46.8747,79.34,51,100,7.0,BR,1680009499
86,Sangar,63.9242,127.4739,1.69,99,86,4.5,RU,1680009529
87,Bella Union,-30.2752,-57.6007,72.36,50,33,10.67,UY,1680009530
88,Amga,60.8953,131.9608,29.08,96,78,4.45,RU,1680009530
89,Tooele,40.5308,-112.2983,32.07,44,40,17.27,US,1680009531
90,Santa Isabel Rio Negro,-0.4139,-65.0192,79.92,78,100,0.43,BR,1680009532
91,Faanui,-16.4833,-151.75,81.93,74,33,11.05,PF,1680009533
92,Lavrentiya,65.5833,-171.0,6.1,99,100,1.59,RU,1680009535
93,Kalnibolotskaya,46.0058,40.4568,62.67,58,100,15.03,RU,1680009535
94,Hong Kong,22.2855,114.1577,69.33,85,100,8.01,HK,1680009454
95,Pevek,69.7008,170.3133,-3.93,77,8,17.09,RU,1680009536
96,Kruisfontein,-34.0033,24.7314,77.58,21,100,15.7,ZA,1680009536
97,Kothāpet,19.3333,79.4833,94.41,15,10,2.71,IN,1680009362
98,Arrondissement de Morlaix,48.5833,-4.0,57.2,75,100,19.57,FR,1680009538
99,Yar-Sale,66.8333,70.8333,0.9,97,100,7.25,RU,1680009538
100,Krasnoarmeyskoye,52.7182,50.0322,54.52,48,33,12.01,RU,1680009539
101,Qaanaaq,77.484,-69.3632,-10.43,67,89,5.59,GL,1680009539
102,Kununurra,-15.7667,128.7333,76.98,78,100,4.61,AU,1680009542
103,Hobart,-42.8794,147.3294,58.86,97,100,2.3,AU,1680009303
104,Hithadhoo,-0.6,73.0833,83.21,74,100,5.91,MV,1680009544
105,Kiryat Gat,31.61,34.7642,76.41,32,0,10.96,IL,1680009545
106,Bluff,-46.6,168.3333,44.8,55,98,11.52,NZ,1680009546
107,Bembèrèkè,10.2283,2.6634,99.75,21,15,5.55,BJ,1680009547
108,Airai,-8.9266,125.4092,59.94,94,100,2.28,TL,1680009547
109,Matsusaka,34.5667,136.5333,53.49,62,0,6.51,JP,1680009280
110,Jumla,29.2747,82.1838,48.7,68,98,4.76,NP,1680009547
111,Mossamedes,-15.1961,12.1522,78.39,80,100,3.6,AO,1680009549
112,Buala,-8.145,159.5921,80.08,83,100,5.35,SB,1680009552
113,Coruripe,-10.1256,-36.1756,84.67,58,10,6.98,BR,1680009552
114,Kieta,-6.2167,155.6333,80.53,81,100,2.77,PG,1680009553
115,Meulaboh,4.1363,96.1285,76.95,91,100,3.56,ID,1680009553
116,Norman Wells,65.282,-126.8329,24.84,93,75,0.0,CA,1680009555
117,Tazmalt,36.3868,4.3989,69.78,26,0,2.68,DZ,1680009555
118,Khatanga,71.9667,102.5,-11.07,96,100,12.33,RU,1680009556
119,Mâncio Lima,-7.6142,-72.8958,75.27,100,75,1.14,BR,1680009556
120,Yellowknife,62.456,-114.3525,-1.44,71,75,9.22,CA,1680009557
121,Frolishchi,56.4211,42.6533,45.97,72,100,6.33,RU,1680009559
122,Sitka,57.0531,-135.33,39.09,65,0,10.36,US,1680009560
123,Hermanus,-34.4187,19.2345,68.81,74,2,10.83,ZA,1680009562
124,Altay,47.8667,88.1167,36.5,77,9,5.55,CN,1680009563
125,Mt. Pleasant,32.7941,-79.8626,66.34,92,100,5.01,US,1680009441
126,Alice Springs,-23.7,133.8833,88.21,40,100,4.61,AU,1680009564
127,Mahébourg,-20.4081,57.7,84.49,70,40,5.75,MU,1680009569
128,Olafsvik,64.8945,-23.7142,31.62,55,100,12.91,IS,1680009571
129,Mwense,-10.3845,28.698,73.58,78,100,4.54,ZM,1680009572
130,Saint George,37.1041,-113.5841,39.25,41,0,4.61,US,1680009572
131,Evensk,61.95,159.2333,-0.38,90,23,6.8,RU,1680009572
132,Punta Arenas,-53.15,-70.9167,39.22,81,40,4.61,CL,1680009574
133,Vaini,-21.2,-175.2,75.36,94,20,2.3,TO,1680009574
134,Katangli,51.7102,143.2326,19.54,94,84,5.79,RU,1680009576
135,Hasaki,35.7333,140.8333,51.22,70,89,15.5,JP,1680009580
